,Company,JobTitle,Location,EmploymentType,Seniority,Category,GovSupport,Minsalary,Maxsalary,Monthly,JobLink,PostedDate,ClosingDate,RoleResponsibility,Requirements
0,OSISOFT ASIA PTE. LTD.,Product Support Engineer,Central,Full Time,Middle Management,Engineering,Government support available,"$5,000 ","$6,000 ",Monthly,/job/decab54cc08655389cc5bf2c9a6e9122,23-Mar-18,22-Apr-18,"Job Description We are hiring Product Support Engineer for our Singapore and China(Beijing and Shanghai) Œæoffice. If you are looking to expand your career horizons in the areas of industry, technology and client-facing work, look no further than the Product Support Engineering role at OSIsoft.Œæ In this role, you have the opportunity to make a significant impact for our enterprise customers, including Fortune 100 companies, each day, while simultaneously building upon your existing skillsets. The role will allow you to develop a variety of skills that will contribute to your entire career while working with a team of talented people who help our dynamic range of customers. Œæ Responsibilities Œæ äó¢Troubleshoot complex technical problems; perform in-depth research and analysis, develop test scripts, and reproduce customer-observed product behavior. äó¢Log details of all cases including research completed, email exchanges, and steps taken during each transaction, through the resolution and closure of the case. äó¢Escalate issues to engineering as needed to ensure timely and satisfactory resolution for the customer. äó¢Participate in pre-sales activities such as demonstrations; presentation of product features, pre-sales consulting on use of product, Webex presentations, etc. äó¢Deliver and assist customers in the installation, deployment and use of OSIsoft technologies according to the agreement concluded between the customer and OSIsoft. äó¢Perform remote installs of the PI software äó¢Prepare and maintain accurate and complete engineering reports and customer specific documentation as required by the agreement with the customer and by OSIsoft. äó¢Develop, maintain and give training classes on OSIsoft technologies äó¢Collaborate with OSIsoft training personnel on the design of training materials or teach client courses based on those materials. äó¢Assist the sales force by identifying and communicating additional opportunities for our products to solve customer needs. äó¢Comply with customer safety programs as required by contract terms, regulations, or guidelines specific to customer sites. äó¢Maintain personal knowledge and skill levels according to guidelines established by OSIsoft through recurrent annual training within the Company or designated external resources. äó¢Submit expense reports and practice financial management consistent with company guidelines and using company systems. äó¢Completion of the current Microsoft certification exam within the first 6 months of employment.  Qualifications äó¢Top graduates from the best Engineering & Computer Engineering Universities äó¢ Bachelor's Degree, Master's Degree or PhD äó¢ 3+ years of experience as a technical engineer. äó¢ Chemical, Electrical or Mechanical Engineering background or related field with a minimum GPA of 3.5 äó¢ Strong computer knowledge, troubleshooting ability and communication skills  About OSIsoft Œæ OSIsoft is a global leader in operational intelligence. We deliver an open enterprise infrastructure, the PI Systemä‹¢, to connect sensor-based data, systems and people. OSIsoft has installations in 127 countries and is widely used across manufacturing, energy, utilities, pharmaceuticals, life sciences, data centers, facilities and the process industries, as well as the public sector and the federal government. OSIsoft is headquartered in San Leandro, California, U.S.A, with offices around the world. Œæ At OSIsoft, we provide the industry standard in enterprise infrastructure for management of time series data through the OSIsoft PI Systemä‹¢. Our customers rely upon the PI Systemä‹¢ to safeguard data and deliver enterprise-wide visibility into operational, manufacturing and business information. The PI Systemä‹¢ enables users to manage assets, mitigate risks, comply with regulations, improve processes, drive innovation, make business decisions in real time, and to identify competitive business and market opportunities. We are time series data; if the data has a value at a given time, we collect it, store it, and show it to our customers whenever they need it! We let engineers and managers see exactly what is going on in their processes in real time äóñ useful, right? Œæ #LI-RM1 ŒæŒæŒæ","Top graduates from the best Engineering & Computer Engineering Universities äó¢ Bachelor's Degree, Master's Degree or PhD äó¢ 3+ years of experience as a technical engineer. äó¢ Chemical, Electrical or Mechanical Engineering background or related field with a minimum GPA of 3.5 äó¢ Strong computer knowledge, troubleshooting ability and communication skillsŒæŒæ"
1,Republic Polytechnic,Office of the Registrar - Assistant Manager  /  Deputy Manager,Central,Full Time,Middle Management,Engineering,,,,,/job/53a237328eb0c2d611db430b3a7575c5,23-Jan-18,31-Dec-18,"Job Responsibilities äó¢ Acquire data from primary or secondary data sources and maintain databases/data systemsäó¢ Interpret data and analyze results using statistical techniquesäó¢ Identify, analyze and interpret trends or patterns in complex data setsäó¢ Plan, prepare and report on statistical data related to enrolment, demographic and academic profile of studentsäó¢ Review, plan and deliver customer-centric support services and procedures Requirements äó¢ A tertiary qualificationäó¢ Minimum 2 years of work experience preferredäó¢ Excellent communication skills (both spoken and written) and interpersonal skillsäó¢ Able to multi-task and handle competing priorities and diverse portfoliosäó¢ Able to work and deliver targets within tight timelineäó¢ Strong analytical skills with the ability to work independently as well as in a teamäó¢ IT savvy and proficient in using Microsoft Office and database applications. Knowledge in programming (e.g. Visual Basic,.NET, Python) would be advantageous",-
2,Republic Polytechnic,School of Infocomm - Research Staff (Text Analytics),Central,Full Time,Manager,Information Technology ...,,,,,/job/bdb3a8b22365e72310e2edc0fbfc737a,23-Jan-18,31-Dec-18,"Responsibilities We are looking for a responsible individual to work on an industry focused R&D project related to Social Media and Telco analytics. The candidate must have a keen interest and some background knowledge in integrating near real-time analytics applications using established techniques in data retrieval, text processing, Hadoop, machine learning/deep learning and link analysis.Successful candidate will have the opportunity to work closely with data scientists/engineers from our Telco industry collaborators and RP to develop an experimental user interest classification and analysis engine. This involves:a) building of a data collector for retrieving social media datasets,b) integrating and extending an in-house developed deep learning based multi-label classification algorithm for inferring user interestsäó» from the collected social datasets, andc) integrating and populating the results of the classifier with telco datasets into a proprietary link analysis algorithm contributed by a renowned research institute in Singapore for downstream analysis.The applicant should bring creativity and vision to the project and be able to execute independently, or as part of a small team. The ability to learn rapidly and a willingness to explore are essential. This is a unique opportunity with huge upside for developing data analytics & integration skills and contacts available almost nowhere else. Œæ  Œæ Requirements Œæ  Skills and Experience: äó¢ŒæQualifications in Computer Science, Engineering, Maths or equivalent with relevant experience will be consideredäó¢ŒæSome project hands-on experience in software development relating to one or more of the following areas: Machine Learning and Text Mining is desirableäó¢ŒæKnow Java or Pythonäó¢ŒæFamiliarity with at least one Machine Learning toolkit: NLTK, R, SparkML, Weka, scikit-learn is preferable but not a must.äó¢ŒæAbility to work with databases (MySQL, MongoDB etc)äó¢ŒæSome experience involving social media APIs, open linked data or other real-time data sources is advantagesäó¢ŒæGood opportunity to build experience in using open-sourced machine learning and APIs/tools to develop text classifications tools for predictionäó¢ŒæAble to work hands-on with minimal supervision or assistanceäó¢ŒæSuccessful candidates will be considered for future longer term projects upon contract completionäó¢ŒæEntry-level candidates are welcomed to apply   Œæ",-
3,GLOBAL BUSINESS TRAVEL (SINGAPORE) PTE. LTD.,APAC Consulting Manager,Central,Full Time,Manager,Information Technology ...,Government support available,"$7,000 ","$12,000 ",Monthly,/job/1b7e8a078f9b2c8683b8c66624a354c1,19-Apr-18,19-May-18,"Global Business Consulting (GBC) is the consulting arm of American Express Global Business Travel. GBC brings the talent, tools and management consulting acumen needed to manage our clientäó»s T&E spend and maximize their return on investment. GBC focuses on business and operational strategy, strategic sourcing and program optimization to help our clients manage their travel spend. Our specialized expertise includes: Policy, Change Management & Compliance, Business Process Outsourcing, Business Intelligence, Travel Category Management and Cost Management.  The Global Business Consulting team consists of Consultants from a wide variety of backgrounds - from the hotel industry, travel, management consulting, IT consulting and general management. Since its establishment in 2007, the practice has grown rapidly due to the maturity of the market and investments in the business.Œæ Reports to : Head of Global Business Consulting Job Description :  The Consulting Manager is expected to exhibit skills in the following areas: Engagement Execution:  Effectively execute multi-work stream engagements, prioritize client requests and work objectives leveraging appropriate project management methodologies and tools such as project plans and issue logs. Experience in applying change management techniques to drive sustainable engagement impact and ROI. Creates deliverables within established engagement scope, quality standards and time frames Experience leading air and/or hotel projects with global complex customers (i.e., 40+ points of sale, $150M in global air spend, etc.)  Problem Solving & Analysis:  Develops hypotheses and identifies data to evaluate based on client needs. Reviews and validates analyses, develops options/alternatives and creates insightful recommendations in context of total engagement. Strong innovative mindset. Deep understanding of both TMC travel data, industry data sources (i.e., ATPCO), and multiple data sources Familiarity with data visualization tools and reporting (i.e., Tableau)  Communication:  Exceptional interpersonal skills, listening ability and written presentation skills. Ability to deal with ambiguity and present/discuss work results in a compelling manner. Distills complex subject matter into key messages for team members and clients Leads global airline relationships äóñ representing both customer & consultancy interests  Relationship Management:  Understands client organization and dynamics. Builds strong working relationships with all key stakeholders. Leverages American Express Global Business Travel and available industry tools and solutions to develop best-in-class deliverables and best practices Experience successfully navigating global, matrixed client organizations (i.e., 40+ points of sale, $150M in global air spend, etc.)  Team Guidance and Support:  Demonstrates strong work ethic with peers and juniors. Coaches team on subject matter and industry knowledge. Contributes to knowledge creation and dissemination related to the Airline and/or Hotel industry. Supports delivery of internal/external projects that develop the business Experience managing analysts (onshore & offshore) to create & deliver positive client outcomes  Experience & understanding of the airline industry  Experience representing a firm or clientäó»s interest within the marketplace (i.e., suppler/industry conferences)Œæ Commercial mindset; ability to led business development efforts in addition to project delivery "," Ability to accommodate client travel up to 30% Bachelor's degree required, MBA strongly preferred, PMI certification a plus Relevant travel experience, such as procurement, strategic sourcing, etc. Knowledge of strategy, financial/business operations, cost management preferred Strong analytical skills; ability to evaluate alternatives and recommend client solutions Strong communication skills that should include internal and external presentation development and delivery Strong client service orientation. Ability to interact effectively with people at all levels within a team or client organization Œæ "
4,TELEKOMUNIKASI INDONESIA INTERNATIONAL PTE. LTD.,Assistant Facility Manager  /  Facility Manager,West,Contract,Manager,Education and Training ...,Government support available,,,,/job/30f493dc397e5b08a8488a47bd8b144d,18-Apr-18,18-May-18," Ensure data center operations are kept within the agreed SLA Ensure all statutory regulations and codes are complied Supervising of appointed Managing Agent Ensure facilities contractor, managing agent and vendors carry out PPM as scheduled and to manage facilities contractor and vendors for any alarm or breakdown Review submitted documents like Drawings, Permit-To-Work, Risk Assessments, Method Statements Assess and verify equipment fault/ damage as claim by service vendor Review and follow up on all incident reports, root cause analysis (RCA) or work improvement plan Ensure work processes and procedures (SOP, MOP, EOP, PTW, RA) for all data center related M&E services are followed Oversee and manage Work Order systems and ensure all planned preventive maintenance (PPM) and reactive maintenance (RM) work orders are raised, inspected, completed and closed as scheduled Prepare budgets for maintenance and replacement of all facility assets Support fit-out projects Prepare monthly reports for customers and to meet customer KPIs and audits Assist in the implementation of data center and company certifications Maintain ISO 27001 process documents and records Ensure Data Centre operations meet energy & water efficiency criteria in compliance to Greenmark, ISO50001, SS564 certifications Ensure data centre PUE is maintained for GM platinum status ", Degree or Diploma in Mechanical EngineeringŒæor equivalent Minimum 5 years experience in data center facilities management and process Proficient in handling day to day critical equipment operations and maintenance Preferably hands on experience in assessing and troubleshooting of breakdowns and equipment faults May be required to work on weekend or Public Holiday and has to be on 24x7 standby for any emergency call 
5,AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,AWS FINANCE MANAGER,West,Contract,Manager,Education and Training ...,Government support available,"$12,000 ","$14,000 ",Monthly,/job/563adb59be0dd8e977eb19adfb247b9b,18-Apr-18,18-May-18,"Amazon has a history and tradition of leading the world in Web-related technologies and services. One of those products is Amazon Web Services (AWS). Since early 2006, AWS has provided companies of all sizes with an infrastructure platform in the cloud. On the AWS Finance team you will be surrounded by people that are exceptionally talented, bright, and driven, and believe that world class support is critical to customer success. To support this quickly growing business, you must be highly analytical and possess a strong passion for analytics and accountability, setting high standards, and razor-sharp accuracy. We take working hard, having fun, and making history seriously äóñ you should too! Amazon AWS Finance has an immediate opening in Singapore for a Finance Manager to join our Data Center Global Services Finance team. The Data Center Global Services team is part of the AWS Infrastructure team. We provide end-to-end financial support driving AWS to be the low cost provider in Cloud computing and leader in customer experience. This includes supporting business owners in building, operating and innovating our Cloud data centers. We support operations, business development, and engineering. You should be passionate about producing financial analysis enabling management to make breakthrough decisions, drive cash flow, and ultimately delight our customers. The Data Center Global Services team is responsible for designing and building data center capacity, and includes functions like procurement & supply chain, construction and design engineering. Key responsibilities in this role include:Œæ - Serve as the key business partner working directly with AWS senior management and other internal stakeholders to provide financial recommendationsŒæ - Manage the financial planning and analysis effort and forecast various metrics for financial risks and opportunities.Œæ - Report on the financial performance and lead in the preparation of weekly, monthly and annual financial reviewsŒæ - Develop ad hoc business analysis and present recommendations to AWS senior managementŒæ - Monitoring compliance with controls and systems, and developing new processes and controls to support the fast-growing, global AWS businessŒæ - Partner with Procurement, supply chain and project management teams to drive costs out through negotiations and strategyŒæ - Drive cost savings by identifying insourcing opportunities and benchmarking across vendors and localesŒæ - Implement long-term forecasting models Amazon is an Equal Opportunity-Affirmative Action Employer äóñ Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation","- Bachelor's degree in Finance, Accounting, Business or related fieldŒæ - 5+ years relevant experience in positions that require analysis and reporting financial resultsŒæ - 3+ years of experience with advanced proficiency in Excel (pivots, lookups, etc.)"
6,A*STAR RESEARCH ENTITIES,Research Fellow (Bioinformatics) /  SICS (A*STAR),Central,Permanent,Manager,Consulting ,Government support available,"$4,500 ","$9,000 ",Monthly,/job/abc74af98f9eb5f63287233f6f10df93,17-Apr-18,17-May-18,"Job Summary: The Singapore Institute for Clinical Sciences (SICS), Agency of Science and Technology Research (A*STAR) is seeking to appoint an outstanding post-doctoral Bioinformatician in the Systems Biology group. The Systems Biology group focuses on in-depth genomic and epigenomic analysis of highly prevalent metabolic and developmental diseases (e.g. diabetes, obesity and neurodevelopment) for biomarker discovery. The candidate should be highly motivated and have an expertise in Next-Generation Sequencing (NGS) data analysis (such as RNA-seq). The successful candidate will be involved in analyzing genomic data generated from valuable samples obtained from birth cohorts and other trials. S/he will be part of collaborations with biological discovery groups, clinicians, pharmaceuticals and nutritional agencies. Œæ Job Responsibilities:  Bioinformatics analyses of NGS data (eg. RNA-seq) Preparation of scientific publications, data reports and presentations To maintain good documentation of analysis pipeline in keeping with good scientific practices To act as the provider of skilled training in the area of bioinformatics data analysis to other members in the team Familiarity with widely used genomic databases and software Willingness to assess and adapt to new tools and methodologies "," Ph.D.Œædegree inŒæStatistics,ŒæComputational Biology,ŒæBioinformaticsŒæorŒæequivalent qualification Proven productivity by previous publications in peer-reviewedŒæbiology journalsŒæisŒæessential Proven experience of deploying NGS toolkits for genomic data analysis, integration and visualization R programming and Bioconductor packages Basic Unix shell scripting High performance computing experience Git, markdown, etc Aptitude for and experience of collaborative research Capable of multitasking and meeting deadlines Highly developed critical thinking and troubleshooting skills Good interpersonal and communication skills äó†Highly self-motivated with excellent communication and writing skills in English language Strong desire to learn in a dynamic multi-disciplinary research environment  Desirable Attributes:  Experience with small RNA, circular RNA or lncRNA data analysis A strong background in statistics and quantitative data analysis Experience with microarray data analysis, limma, WGCNA, GSEA äó†Experience with eQTLs/meQTLs, to identify allele-specific effects Ability to work independently and goal oriented to meet multiple priorities Experience of working in a biotechnology industry, team with collaborators or a consortium   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
7,A*STAR RESEARCH ENTITIES,Research Fellow (MLB) /  SICS (A*STAR),Central,Permanent,Manager,Consulting ,Government support available,"$4,500 ","$9,000 ",Monthly,/job/fe86398a185a7b5fa7cafa75e2e3c958,17-Apr-18,17-May-18,"Job Summary: The computational biology group at the Singapore Institute for Clinical Sciences (SICS) invites applications for a Research Fellow position in the area of Metabolomics and Lipidomics Bioinformatics. The successful candidate will join an established research team focusing on understanding molecular and biomedical data from observational and interventional clinical studies. Job Responsibilities:  Perform statistical analysis for metabolomics/lipidomics projects within Systems Biology group Apply bioinformatics algorithms, unsupervised and supervised methods, univariate and multivariate regression analysis, etc. to enable the discovery of predictive and prognostic biomarkers and biomarker signatures utilizing metabolomics, phenotypic and other omics data from pregnancy and birth cohorts studied at SICS Work on multiple projects involving a diverse and interdisciplinary team of scientists across multiple laboratories Develops and implement standardized analysis plans for data analysis and quality control for metabolomics, and other large data sets from collaborations with PIs leading clinical and observational studies Write manuscripts and project reports Prepare and present data for publication in conferences/meetings Stay updated with the literature and engage in discussions related to ongoing proposed projects "," Ph.D. degree or industry training in metabolomics/lipidomics field Proficiency in analysing data acquired from GC-MS and LC-MS platforms Previous handling of clinical data and statistical approaches to perform association studies Track record of productive research in metabolomics field, evidenced by peer-reviewed publication record Aptitude for and experience of collaborative research Strong computational skills to independently analyze data with standard statistical tools and methods Ability to multi-task and work in an environment with tight timelines and multiple priorities äó†Excellent oral and written communication skills to interact with colleagues and technical support   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
8,DSM SINGAPORE INDUSTRIAL PTE. LTD.,Improvement Specialist,South,Permanent ...,Non-executive,Engineering,Government support available,"$5,000 ","$8,000 ",Monthly,/job/7dd1be07e936e5b4b486bd2bf19e2d19,17-Apr-18,17-May-18,"Purpose of the job The Improvement Specialist (IS) acts as a functional expert and trusted advisor for dedicated business group(s) or service unit in DSM.Œæ The IS has a profound knowledge of their business, their Information Solutions, their systems, tooling and interfaces. The main objective of the IS role isŒæ :  To improve the correct use of the information solutions supporting in a user friendly manner To initiate and execute improvements of existing solutions. To increase leverage of existing information solutions To connect with BG/Functional stakeholders in order to capture latest requirements and business drivers in order to assess impact on existing information solutions or requirements for new developments feasibility for application within DSM. Support operational excellence Support lower IT costs  Job Content: Key Areas of Accountability / Responsibility  Improvement   Support & advice users in the correct use of the available solutions either via personal contacts or via virtual trainings Execute big data analytics scans and develop corresponding algorithm to identify roadblocks for effective solution execution Translate the outcome of the scans in Œæbusiness improvement potentialŒæ and required actions, planning and effort estimate Develop proposals for changes in solutions to increase the solutionäó»s efficiency Implement new solutions in the units of responsibility   Competence   Develop oneself as a full fledge leading specialist End-to-end solution knowledge (data, process and IT) for an area of interest (customer, supplier, products and plants, support), much broader and deeper than the traditional äóìprocess onlyäóù boundaries (OTC, PTP, etc) Good understanding of available IT technologies Basic understanding of new Digital World Certified lean 6 sigma expert (green) Experienced data analyst Business acumen Cross fertilizing solution across DSM Basic level of Design thinking Basic level of PMP (silver) Basic level of Scrum agile Collaboration with internal business / functional stakeholders (MT, business process owners) to understand business dynamics and requirements Collaborate with internal GIS stakeholders (SBP and BP) to understand priorities of Information Plans of business and functions   Œæ   Process Management   Maintain an overview of available information solutions for their area of responsibility Conduct activities regarding changes, running projects and information improvements in such a matter that the integrity and quality of the DSM information (data, process and IT)Œæ landscape end-to-end is ensured Execute activities in accordance with the Business Process Management processes and required supporting tooling. Complexity of the job   Provide information management consultancy to (senior) business management on different management levels (from senior management to junior functions) Find solutions for contradicting requirements and interests at many different hierarchal levels in DSM Business and Corporate functions. Understand a historically grown highly complex process and IT landscape. Ability to learn and absorb new developments in the fast moving supply market with constant changes and new technologies (mobility, big data, Internet of Things, cloud computing, globalization) Think and solve problems with different levels of management. Work effectively in a culturally-diverse global organization Work effectively with teams located at different parts of the world Drive operational excellence and continuous improvement by providing several stakeholders information about performance and forward suggestions for improvements and/or cost reductions Œæ ","Knowledge and educational level Knowledge  Understand how a business or function is running   Unit data and business process models and its interrelations. The Œæfunctional organizations, Enterprise Models, Business and functional Risk   Develop and execute target group specific training / education for professional users apps and system know how and use of supporting solutions and tools Use of data analytics in information management Lean Six Sigma (minimum green belt) Project management (basic)  Skills  Good communication, Œæpresentation and training skills is preferredŒæ Able to collaborate in a virtual manner around the world beyond the borders of their organization they are working for (BIS, SSO, Service Change, Business Partners, BG, MDM/Reporting) Excellent network builder in business organization High level of analytical skills Strong team player and able to work in global virtual team  Education   Bachelor or Master degree preferable in business administration or Information ManagementŒæ Project Management (PMP Silver) is preferred Lean Six sigma (minimum green belt) is preferredŒæ "
9,STANDARD CHARTERED BANK,"Business Analyst, Wholesale Credit Risk (1 year contract)",South,Permanent ...,Non-executive,Engineering,Government support available,"$6,000 ","$12,000 ",Monthly,/job/ce8bc49aad1d34f90c4677a234828908,17-Apr-18,2-May-18,"We are currently looking for aŒæBusiness Analyst, Wholesale Credit Risk (1 year contract)Œæwill support the Reporting Leads for Wholesale Credit Risk in driving the BCBS239 requirements for both non-system deliverables and also for systems related projects. The job holder will work closely with the subject matter experts in Risk / Finance / Data Governance teams to review and analyse the project requirements against BCBS239 principles, data requirements for aggregation & reporting and work towards implementing the requirements. Œæ Key Roles & Responsibilities  Coordinate various activities relating to Wholesale Credit Risk streams for the analysis and implementation of BCBS239 requirements   Analyse, scope and work to deliver the requirements as set out by the programme management towards BCBS239 compliance   Perform documentation deliverables for inventories (report / EUC / manual processes), priority reports, Risk measures and data elements including lineage, report specifications for BAU and crisis reports; ensuring high quality of documentation in a level of detail   Ensure project deliveries are aligned to Group BCBS239 programme templates, various frameworks of Data, Technology, Risk Aggregation & Reporting   Provide business requirements for necessary system changes, work with technology teams to ensure deliverables covering relevant testing for implementation   Engage Group BCBS239 Programme counterparts to leverage the common agenda   Collaborate with other risk types, finance, data governance and technology functions as necessary to ensure the programme deliverables are aligned   Work with other teams / projects that may be related to BCBS239 deliverables, address / escalate conflict of interest and facilitate BCBS239 requirements ","Qualifications & Skills  Relevant degree in Accounting, Finance or related discipline   6+ years experience in Financial Services industry in Credit Risk Management and Reporting   Extensive knowledge and understanding in internal MIS and/or regulatory reporting, MAS regulations and reporting requirements   Well versed with Wholesale Banking products   Excellent interpersonal & communication skills to clearly articulate across the organisation hierarchy   Organised, structured with a pragmatic multi tasking approach to deliver within demanding timelines   Able to operate independently and also in cross-cultural cross-functional matrix teams   Preferred experience working in regulatory projects, aware of its lifecycle stages and challenges  How to Apply Please visit - https://scb.taleo.net/careersection/ex/jobdetail.ftl?job=1800011033&lang=en Œæto apply now and take the next step in fulfilling your potential. You can search and view current opportunities across our global organisation and apply immediately by visiting www.standardchartered.com. To help speed up your application, please note the following:  You will need to log in (or register if you are visiting our careers site for the first time) before you can apply for a specific role Some roles may require you to undertake an online talent assessment in addition to completing the application form (to facilitate this process it is preferable that you provide us with an email address as part of your contact information) We will ask you about your education, career history and skills and experience, it may be helpful to have this information at hand when completing your application  It usually takes 15 - 20 minutes to complete the application form; you can save your application at any time and return to complete it at your convenience. Diversity & Inclusion Standard Chartered is committed to diversity and inclusion. We believe that a work environment which embraces diversity will enable us to get the best out of the broadest spectrum of people to sustain strong business performance and competitive advantage. By building an inclusive culture, each employee can develop a sense of belonging, and have the opportunity to maximise their personal potential. Œæ"
